1792505,Aurora,2014,F,2718
1792506,Eliana,2014,F,2708
1792507,Brielle,2014,F,2638
1792508,Liliana,2014,F,2624
1792509,Mary,2014,F,2611
1792510,Elena,2014,F,2598
1792511,Molly,2014,F,2578
1792512,Makayla,2014,F,2559
1792513,Lilly,2014,F,2550
1792514,Andrea,2014,F,2543
1792515,Quinn,2014,F,2539
1792516,Jordyn,2014,F,2533
1792517,Adalynn,2014,F,2512
1792518,Nicole,2014,F,2511
1792519,Delilah,2014,F,2496
1792520,Kendall,2014,F,2432
1792521,Kinsley,2014,F,2429
1792522,Ariel,2014,F,2419
1792523,Payton,2014,F,2397
1792524,Paige,2014,F,2395
1792525,Mariah,2014,F,2383
1792526,Brooke,2014,F,2375
1792527,Willow,2014,F,2373
1792528,Jade,2014,F,2369
1792529,Lyla,2014,F,2368
1792530,Mya,2014,F,2367
1792531,Ximena,2014,F,2323
1792532,Luna,2014,F,2314
1792533,Isabel,2014,F,2313
1792534,Mckenzie,2014,F,2303
1792535,Ivy,2014,F,2269
1792536,Josephine,2014,F,2255
1792537,Amy,2014,F,2178
1792538,Laila,2014,F,2133
1792539,Isla,2014,F,2122
1792540,Eden,2014,F,2117
1792541,Adalyn,2014,F,2105
1792542,Angelina,2014,F,2105
1792543,Londyn,2014,F,2081
1792544,Rachel,2014,F,2051
1792545,Melody,2014,F,2048
1792546,Juliana,2014,F,2045
1792547,Kaitlyn,2014,F,2044
1792548,Brooklynn,2014,F,2043
1792549,Destiny,2014,F,2043
1792550,Emery,2014,F,2026
1792551,Gracie,2014,F,2021
1792552,Norah,2014,F,1994
1792553,Emilia,2014,F,1989
1792554,Reese,2014,F,1960
1792555,Elise,2014,F,1959
1792556,Sara,2014,F,1949
1792557,Aliyah,2014,F,1947
1792558,Margaret,2014,F,1933
1792559,Catherine,2014,F,1923
1792560,Vanessa,2014,F,1913
1792561,Katelyn,2014,F,1910
1792562,Gabrielle,2014,F,1902
1792563,Arabella,2014,F,1894
1792564,Valeria,2014,F,1882
1792565,Valerie,2014,F,1871
1792566,Adriana,2014,F,1861
1792567,Everly,2014,F,1854
1792568,Jessica,2014,F,1779
1792569,Daisy,2014,F,1769
1792570,Makenzie,2014,F,1766
1792571,Summer,2014,F,1759
1792572,Lila,2014,F,1758
1792573,Rebecca,2014,F,1758
1792574,Julianna,2014,F,1756
1792575,Callie,2014,F,1751
1792576,Michelle,2014,F,1737
