Name,Percent Male,Percent Female
Roddy,0,0
Silvia,0,0
Rolf,0,0
Jarielle,0,0
Aileah,0,0
Quenten,0,0
Joaopedro,0,0
Dayven,0,0
Bassam,0,0
Keeton,0,0
Zriyah,0,0
Landan,0,0
Travelle,0,0
Shareef,0,0
Chyler,0,0
Md,0,0
Mi,0,0
Mj,0,0
Ambree,0,0
Ameliya,0,0
Latham,0,0
Ambrea,0,0
My,0,0
Crosley,0.7272727272727273,0.2727272727272727
Webb,0,0
Baiya,0,0
Eragon,0,0
Essence,0,0
Yailyn,0,0
Mirza,0,0
Lyiam,0,0
Edenilson,0,0
Quintavious,0,0
Giulio,0,0
Priyansh,0,0
Thornton,0,0
Giulia,0,0
Jayten,0,0
Jona,0.56,0.44
Joni,0.18333333333333332,0.8166666666666667
Jonh,0,0
Deacan,0,0
Davidson,0,0
Lc,0,0
Cashious,0,0
Royalti,0,0
Aydian,0,0
August,0.8685714285714285,0.13142857142857142
Terrica,0,0
Arieona,0,0
Boe,0,0
Rhealynn,0,0
Royalty,0.26744186046511625,0.7325581395348837
Rima,0,0
Sephora,0,0
Jaclyn,0,0
Alyster,0,0
Jaquelyn,0,0
Adarius,0,0
Iris,0,0
Klaus,0,0
Nikolus,0,0
Artyom,0,0
Myer,0,0
Rebekka,0,0
Henley,0.12125748502994012,0.8787425149700598
Braeden,0,0
Jiovany,0,0
Henlee,0,0
Irie,0.1301775147928994,0.8698224852071006
Chukwudi,0,0
Avyaan,0,0
Makinna,0,0
Glenn,0,0
Lewi,0,0
Chaison,0,0
Briamarie,0,0
Hershel,0,0
Jeryl,0,0
Messai,0,0
Kyndal,0.02242152466367713,0.9775784753363229
Farrah,0,0
Aliona,0,0
Symphony,0,0
Meridith,0,0
Bijan,0,0
Dayna,0,0
Dayne,0,0
Daisia,0,0
Daisie,0,0
Dareli,0,0
Darell,0,0
Esabella,0,0
Lessly,0,0
Symeon,0,0
Joliet,0,0
Breckon,0,0
Kailynne,0,0
Estephanie,0,0
Sicilia,0,0
Estephania,0,0
Alaine,0,0
Alaina,0,0
Mamoun,0,0
Garvens,0,0
Sylus,0,0
Bayla,0,0
Hudeyfa,0,0
Kanye,0,0
Kanya,0,0
Eliab,0,0
Bowie,0.6629213483146067,0.33707865168539325
Makayleigh,0,0
Eliam,0,0
Bowin,0,0
Bocephus,0,0
Eliah,0.746031746031746,0.25396825396825395
Eliav,0,0
Kirill,0,0
Jaslene,0,0
Elias,0.9986687965921193,0.0013312034078807242
